,labels,preds,misclassified
194,0,0,False
195,1,1,False
196,0,0,False
197,1,1,False
198,2,2,False
199,0,0,False
200,1,1,False
201,0,0,False
202,0,0,False
203,1,1,False
204,0,0,False
205,0,0,False
206,0,0,False
207,0,0,False
208,2,2,False
209,1,1,False
210,0,0,False
211,1,1,False
212,1,1,False
213,1,1,False
214,1,1,False
215,1,1,False
216,2,2,False
217,0,0,False
218,2,2,False
219,0,0,False
220,2,2,False
221,0,1,True
222,0,0,False
223,1,1,False
224,1,1,False
225,1,1,False
226,0,0,False
227,2,2,False
228,1,1,False
229,2,2,False
230,1,1,False
231,1,1,False
232,2,2,False
233,1,0,True
234,1,1,False
235,0,0,False
236,2,2,False
237,2,2,False
238,2,2,False
239,0,0,False
240,2,2,False
241,2,2,False
242,1,1,False
243,0,0,False
244,2,2,False
245,1,1,False
246,1,1,False
247,1,1,False
248,0,0,False
249,0,0,False
250,0,0,False
251,2,2,False
252,0,0,False
253,0,0,False
254,0,0,False
255,0,0,False
256,2,2,False
257,2,2,False
258,1,1,False
259,0,0,False
260,2,2,False
261,0,0,False
262,0,0,False
263,0,0,False
264,0,0,False
265,2,2,False
266,1,1,False
267,2,2,False
268,0,0,False
269,0,0,False
270,2,2,False
271,1,1,False
272,1,1,False
273,0,0,False
274,0,0,False
275,0,0,False
276,0,0,False
277,2,2,False
278,1,1,False
279,1,1,False
280,2,2,False
281,1,1,False
282,1,1,False
283,0,0,False
284,1,1,False
285,2,2,False
286,2,2,False
287,2,2,False
288,0,0,False
289,0,0,False
290,0,0,False
291,2,2,False
292,0,0,False
293,0,0,False
294,0,0,False
295,0,0,False
296,2,2,False
297,0,0,False
298,2,2,False
299,1,1,False
300,0,0,False
301,1,1,False
302,0,0,False
303,0,1,True
304,0,0,False
305,0,0,False
306,0,0,False
307,2,2,False
308,2,2,False
309,0,0,False
310,1,1,False
311,0,0,False
312,0,0,False
313,2,2,False
314,1,1,False
315,1,1,False
316,1,1,False
317,2,2,False
318,2,2,False
319,0,0,False
320,0,0,False
321,0,0,False
322,2,2,False
323,0,0,False
324,2,2,False
325,2,2,False
326,2,2,False
327,2,2,False
328,2,2,False
329,1,1,False
330,1,1,False
331,0,0,False
332,1,1,False
333,0,0,False
334,2,2,False
335,2,2,False
336,0,0,False
337,1,1,False
338,2,2,False
339,1,1,False
340,2,2,False
341,0,0,False
342,2,2,False
343,1,1,False
344,0,0,False
345,1,1,False
346,2,2,False
347,1,1,False
348,2,2,False
349,2,2,False
350,2,2,False
351,0,0,False
352,1,1,False
353,2,2,False
354,2,2,False
355,0,0,False
356,2,2,False
357,0,1,True
358,0,0,False
359,2,2,False
360,1,1,False
361,1,1,False
362,2,2,False
363,2,2,False
364,2,2,False
365,2,2,False
366,2,2,False
367,1,1,False
368,1,1,False
369,0,0,False
370,1,1,False
371,2,2,False
372,1,1,False
373,1,1,False
374,0,0,False
375,2,2,False
376,1,1,False
377,0,0,False
378,2,2,False
379,1,1,False
380,1,1,False
381,1,1,False
382,1,1,False
383,2,2,False
384,1,1,False
385,0,0,False
386,2,2,False
387,0,0,False
388,0,0,False
389,1,1,False
390,2,2,False
391,1,1,False
392,2,2,False
393,1,1,False
394,2,2,False
395,0,0,False
396,2,2,False
397,2,2,False
398,1,1,False
399,0,0,False
400,1,1,False
401,1,1,False
402,2,2,False
403,2,2,False
404,0,0,False
